sale_id,team,category,channel,units_sold,unit_price,sale_date,total_revenue
1,Bucks,Jerseys,Retail Partner,3,29,2022-11-24,87
2,Knicks,Jerseys,Retail Partner,3,171,2023-06-10,513
3,Knicks,T-Shirts,Retail Partner,3,144,2022-03-06,432
4,Nuggets,Hats,Arena Store,1,109,2023-01-03,109
5,Nets,Hats,Arena Store,1,123,2022-10-14,123
6,Bulls,Footwear,Online,1,105,2022-10-02,105
7,Bulls,Hoodies,Online,2,73,2022-02-16,146
8,Bulls,Hats,Arena Store,2,114,2022-07-17,228
9,Suns,Jerseys,Arena Store,1,145,2022-05-28,145
10,Suns,Hoodies,Arena Store,3,113,2023-01-30,339
11,Suns,Jerseys,Retail Partner,2,153,2022-08-06,306
12,Warriors,Hats,Online,4,133,2023-06-05,532
13,Heat,Collectibles,Retail Partner,2,47,2023-08-22,94
14,Suns,Collectibles,Retail Partner,2,176,2023-07-14,352
15,Heat,Hats,Retail Partner,1,156,2022-07-09,156
16,Bucks,Collectibles,Online,1,158,2022-10-23,158
17,Nuggets,Jerseys,Arena Store,1,25,2022-12-02,25
18,Suns,Hoodies,Arena Store,3,173,2022-07-09,519
19,Clippers,Footwear,Online,1,154,2023-03-18,154
20,Lakers,Hoodies,Arena Store,4,106,2022-10-17,424
21,Knicks,Footwear,Retail Partner,1,130,2022-10-19,130
22,Spurs,Hats,Retail Partner,3,95,2022-06-13,285
23,Suns,Jerseys,Retail Partner,4,66,2023-03-24,264
24,Clippers,Collectibles,Arena Store,3,56,2022-08-23,168
25,Nuggets,Jerseys,Retail Partner,4,96,2023-02-22,384
26,Celtics,T-Shirts,Online,2,127,2023-09-14,254
27,Nets,Collectibles,Retail Partner,3,155,2023-12-02,465
28,Nets,Footwear,Online,3,26,2022-10-21,78
29,Warriors,Footwear,Arena Store,1,160,2023-02-25,160
30,Nuggets,T-Shirts,Arena Store,4,150,2024-06-19,600
31,Mavericks,Hats,Arena Store,3,168,2022-01-31,504
32,Celtics,Footwear,Retail Partner,4,35,2022-06-04,140
33,Heat,T-Shirts,Arena Store,1,123,2023-10-01,123
34,Clippers,T-Shirts,Online,1,88,2022-02-04,88
35,Nuggets,Jerseys,Retail Partner,4,95,2022-06-21,380
36,Warriors,Hats,Online,3,144,2022-12-01,432
37,Warriors,Hoodies,Arena Store,1,135,2023-08-30,135
38,Knicks,Collectibles,Arena Store,2,97,2023-10-13,194
39,Knicks,Collectibles,Arena Store,4,25,2023-04-08,100
